hour,count
2023-07-04 15:00:00,3009
2023-07-04 16:00:00,3366
2023-07-04 17:00:00,2850
2023-07-04 18:00:00,3084
2023-07-04 19:00:00,3186
2023-07-04 20:00:00,2304
2023-07-04 21:00:00,2697
2023-07-04 22:00:00,2871
2023-07-04 23:00:00,3246
2023-07-05 00:00:00,2661
2023-07-05 01:00:00,2322
2023-07-05 02:00:00,2541
2023-07-05 03:00:00,3096
2023-07-05 04:00:00,3183
2023-07-05 05:00:00,3297
2023-07-05 06:00:00,2952
2023-07-05 07:00:00,2601
2023-07-05 08:00:00,3210
2023-07-05 09:00:00,3006
2023-07-05 10:00:00,3012
2023-07-05 11:00:00,2883
2023-07-05 12:00:00,3282
2023-07-05 13:00:00,3069
2023-07-05 14:00:00,3411
2023-07-05 15:00:00,2550
2023-07-05 16:00:00,3324
2023-07-05 17:00:00,2778
2023-07-05 18:00:00,3312
2023-07-05 19:00:00,2790
2023-07-05 20:00:00,3039
2023-07-05 21:00:00,1920
2023-07-05 22:00:00,2928
2023-07-05 23:00:00,2910
2023-07-06 00:00:00,2964
2023-07-06 01:00:00,2457
2023-07-06 02:00:00,2994
2023-07-06 03:00:00,2958
2023-07-06 04:00:00,2391
2023-07-06 05:00:00,3111
2023-07-06 06:00:00,2517
2023-07-06 07:00:00,2445
2023-07-06 08:00:00,2916
2023-07-06 09:00:00,2562
2023-07-06 10:00:00,2658
2023-07-06 11:00:00,2913
2023-07-06 12:00:00,2826
2023-07-06 13:00:00,2301
2023-07-06 14:00:00,2547
2023-07-06 15:00:00,2853
2023-07-06 16:00:00,2322
2023-07-06 17:00:00,2778
2023-07-06 18:00:00,2727
2023-07-06 19:00:00,3015
2023-07-06 20:00:00,3006
2023-07-06 21:00:00,2616
2023-07-06 22:00:00,2538
2023-07-06 23:00:00,2409
2023-07-07 00:00:00,2769
2023-07-07 01:00:00,2571
2023-07-07 02:00:00,2952
2023-07-07 03:00:00,2952
2023-07-07 04:00:00,2022
2023-07-07 05:00:00,2886
2023-07-07 06:00:00,2934
2023-07-07 07:00:00,2874
2023-07-07 08:00:00,2598
2023-07-07 09:00:00,2835
2023-07-07 10:00:00,2724
2023-07-07 11:00:00,3072
2023-07-07 12:00:00,2865
2023-07-07 13:00:00,2904
2023-07-07 14:00:00,2535
2023-07-07 15:00:00,3027
2023-07-07 16:00:00,3036
2023-07-07 17:00:00,2259
2023-07-07 18:00:00,2526
2023-07-07 19:00:00,2490
2023-07-07 20:00:00,2694
2023-07-07 21:00:00,2436
2023-07-07 22:00:00,2856
2023-07-07 23:00:00,2223
2023-07-08 00:00:00,2658
2023-07-08 01:00:00,2718
2023-07-08 02:00:00,2121
2023-07-08 03:00:00,2952
2023-07-08 04:00:00,2343
2023-07-08 05:00:00,2946
2023-07-08 06:00:00,2490
2023-07-08 07:00:00,3015
2023-07-08 08:00:00,2550
2023-07-08 09:00:00,2238
2023-07-08 10:00:00,2166
2023-07-08 11:00:00,2286
2023-07-08 12:00:00,2673
2023-07-08 13:00:00,1998
2023-07-08 14:00:00,2673
2023-07-08 15:00:00,2391
2023-07-08 16:00:00,2706
2023-07-08 17:00:00,2874
2023-07-08 18:00:00,2910
2023-07-08 19:00:00,2895
2023-07-08 20:00:00,2922
2023-07-08 21:00:00,2913
2023-07-08 22:00:00,2538
2023-07-08 23:00:00,2724
2023-07-09 00:00:00,1878
2023-07-09 01:00:00,2259
2023-07-09 02:00:00,2301
2023-07-09 03:00:00,2079
2023-07-09 04:00:00,2193
2023-07-09 05:00:00,2091
2023-07-09 06:00:00,1743
2023-07-09 07:00:00,2274
2023-07-09 08:00:00,1989
2023-07-09 09:00:00,1713
2023-07-09 10:00:00,2835
2023-07-09 11:00:00,2253
2023-07-09 12:00:00,2700
2023-07-09 13:00:00,2298
2023-07-09 14:00:00,1968
2023-07-09 15:00:00,2271
2023-07-09 16:00:00,2598
2023-07-09 17:00:00,2406
2023-07-09 18:00:00,2673
2023-07-09 19:00:00,1869
2023-07-09 20:00:00,2241
2023-07-09 21:00:00,2079
2023-07-09 22:00:00,2436
2023-07-09 23:00:00,1605
2023-07-10 00:00:00,2481
2023-07-10 01:00:00,2226
2023-07-10 02:00:00,1938
2023-07-10 03:00:00,1398
2023-07-10 04:00:00,2079
2023-07-10 05:00:00,2361
2023-07-10 06:00:00,2400
2023-07-10 07:00:00,2577
2023-07-10 08:00:00,2304
2023-07-10 09:00:00,1800
2023-07-10 10:00:00,2262
2023-07-10 11:00:00,2739
2023-07-10 12:00:00,2433
2023-07-10 13:00:00,2226
2023-07-10 14:00:00,2148
2023-07-10 15:00:00,2496
2023-07-10 16:00:00,2220
2023-07-10 17:00:00,2400
2023-07-10 18:00:00,2250
2023-07-10 19:00:00,2196
2023-07-10 20:00:00,2385
2023-07-10 21:00:00,2022
2023-07-10 22:00:00,2415
2023-07-10 23:00:00,2673
2023-07-11 00:00:00,2253
2023-07-11 01:00:00,2562
2023-07-11 02:00:00,2079
2023-07-11 03:00:00,2466
2023-07-11 04:00:00,2325
2023-07-11 05:00:00,2250
2023-07-11 06:00:00,2277
2023-07-11 07:00:00,2094
2023-07-11 08:00:00,2508
2023-07-11 09:00:00,2457
2023-07-11 10:00:00,2769
2023-07-11 11:00:00,1743
2023-07-11 12:00:00,1716
2023-07-11 13:00:00,2028
2023-07-11 14:00:00,2040
2023-07-11 15:00:00,1542
2023-07-11 16:00:00,2070
2023-07-11 17:00:00,2316
2023-07-11 18:00:00,2454
2023-07-11 19:00:00,2268
2023-07-11 20:00:00,1416
2023-07-11 21:00:00,2127
2023-07-11 22:00:00,2361
2023-07-11 23:00:00,2448
2023-07-12 00:00:00,1173
2023-07-12 01:00:00,2277
2023-07-12 02:00:00,2328
2023-07-12 03:00:00,2142
2023-07-12 04:00:00,1449
2023-07-12 05:00:00,1854
2023-07-12 06:00:00,1842
2023-07-12 07:00:00,1914
2023-07-12 08:00:00,1450
2023-07-12 09:00:00,1676
2023-07-12 10:00:00,1530
2023-07-12 11:00:00,1986
2023-07-12 12:00:00,1617
2023-07-12 13:00:00,1413
2023-07-12 14:00:00,1863
2023-07-12 15:00:00,1509
2023-07-12 16:00:00,1893
2023-07-12 17:00:00,1812
2023-07-12 18:00:00,1692
2023-07-12 19:00:00,1764
2023-07-12 20:00:00,2082
2023-07-12 21:00:00,1680
2023-07-12 22:00:00,1491
2023-07-12 23:00:00,1824
2023-07-13 00:00:00,1707
2023-07-13 01:00:00,1632
2023-07-13 02:00:00,1398
2023-07-13 03:00:00,1512
2023-07-13 04:00:00,1665
2023-07-13 05:00:00,1491
2023-07-13 06:00:00,2046
2023-07-13 07:00:00,1644
2023-07-13 08:00:00,1959
2023-07-13 09:00:00,2055
2023-07-13 10:00:00,1194
2023-07-13 11:00:00,1812
2023-07-13 12:00:00,1611
2023-07-13 13:00:00,1242
2023-07-13 14:00:00,1380
2023-07-13 15:00:00,1884
2023-07-13 16:00:00,1560
2023-07-13 17:00:00,1905
2023-07-13 18:00:00,1476
2023-07-13 19:00:00,1461
2023-07-13 20:00:00,1473
2023-07-13 21:00:00,1491
2023-07-13 22:00:00,1482
2023-07-13 23:00:00,1503
2023-07-14 00:00:00,1479
2023-07-14 01:00:00,1671
2023-07-14 02:00:00,1551
2023-07-14 03:00:00,1314
2023-07-14 04:00:00,1575
2023-07-14 05:00:00,1656
2023-07-14 06:00:00,1503
2023-07-14 07:00:00,1467
2023-07-14 08:00:00,1677
2023-07-14 09:00:00,1467
2023-07-14 10:00:00,1341
2023-07-14 11:00:00,1518
2023-07-14 12:00:00,1302
2023-07-14 13:00:00,1614
2023-07-14 14:00:00,1356
2023-07-14 15:00:00,1434
2023-07-14 16:00:00,1704
2023-07-14 17:00:00,1557
2023-07-14 18:00:00,1275
2023-07-14 19:00:00,1263
2023-07-14 20:00:00,936
2023-07-14 21:00:00,1299
2023-07-14 22:00:00,1566
2023-07-14 23:00:00,1458
2023-07-15 00:00:00,1380
2023-07-15 01:00:00,1047
2023-07-15 02:00:00,1464
2023-07-15 03:00:00,1422
2023-07-15 04:00:00,1227
2023-07-15 05:00:00,1554
2023-07-15 06:00:00,1064
2023-07-15 07:00:00,1351
2023-07-15 08:00:00,1205
2023-07-15 09:00:00,1336
2023-07-15 10:00:00,1074
2023-07-15 11:00:00,1155
2023-07-15 12:00:00,1257
2023-07-15 13:00:00,1416
2023-07-15 14:00:00,1056
2023-07-15 15:00:00,1344
2023-07-15 16:00:00,1032
2023-07-15 17:00:00,1425
2023-07-15 18:00:00,1506
2023-07-15 19:00:00,1011
2023-07-15 20:00:00,1251
2023-07-15 21:00:00,1080
2023-07-15 22:00:00,921
2023-07-15 23:00:00,951
2023-07-16 00:00:00,966
2023-07-16 01:00:00,1269
2023-07-16 02:00:00,1134
2023-07-16 03:00:00,1188
2023-07-16 04:00:00,1251
2023-07-16 05:00:00,588
